date,season,month,area,anomaly
1880-01-01,Winter,Jan,NH,-0.37
1881-01-01,Winter,Jan,NH,-0.32
1882-01-01,Winter,Jan,NH,0.24
1883-01-01,Winter,Jan,NH,-0.59
1884-01-01,Winter,Jan,NH,-0.18
1885-01-01,Winter,Jan,NH,-1.02
1886-01-01,Winter,Jan,NH,-0.76
1887-01-01,Winter,Jan,NH,-1.09
1888-01-01,Winter,Jan,NH,-0.50
1889-01-01,Winter,Jan,NH,-0.29
1890-01-01,Winter,Jan,NH,-0.64
1891-01-01,Winter,Jan,NH,-0.47
1892-01-01,Winter,Jan,NH,-0.51
1893-01-01,Winter,Jan,NH,-1.52
1894-01-01,Winter,Jan,NH,-0.92
1895-01-01,Winter,Jan,NH,-0.71
1896-01-01,Winter,Jan,NH,-0.36
1897-01-01,Winter,Jan,NH,-0.40
1898-01-01,Winter,Jan,NH,0.05
1899-01-01,Winter,Jan,NH,-0.13
1900-01-01,Winter,Jan,NH,-0.62
1901-01-01,Winter,Jan,NH,-0.33
1902-01-01,Winter,Jan,NH,-0.16
1903-01-01,Winter,Jan,NH,-0.21
1904-01-01,Winter,Jan,NH,-0.76
1905-01-01,Winter,Jan,NH,-0.41
1906-01-01,Winter,Jan,NH,-0.55
1907-01-01,Winter,Jan,NH,-0.57
1908-01-01,Winter,Jan,NH,-0.53
1909-01-01,Winter,Jan,NH,-0.92
1910-01-01,Winter,Jan,NH,-0.35
1911-01-01,Winter,Jan,NH,-0.70
1912-01-01,Winter,Jan,NH,-0.34
1913-01-01,Winter,Jan,NH,-0.55
1914-01-01,Winter,Jan,NH,0.17
1915-01-01,Winter,Jan,NH,-0.26
1916-01-01,Winter,Jan,NH,-0.08
1917-01-01,Winter,Jan,NH,-0.53
1918-01-01,Winter,Jan,NH,-0.69
1919-01-01,Winter,Jan,NH,-0.38
1920-01-01,Winter,Jan,NH,-0.14
1921-01-01,Winter,Jan,NH,0.19
1922-01-01,Winter,Jan,NH,-0.37
1923-01-01,Winter,Jan,NH,-0.18
1924-01-01,Winter,Jan,NH,-0.28
1925-01-01,Winter,Jan,NH,-0.28
1926-01-01,Winter,Jan,NH,0.53
1927-01-01,Winter,Jan,NH,-0.28
1928-01-01,Winter,Jan,NH,0.27
1929-01-01,Winter,Jan,NH,-0.56
