index,time,lat,lon,tempanomaly
0,2023-03-15,-89.00,-179.00,1.35
1,2023-03-15,-89.00,-177.00,1.35
2,2023-03-15,-89.00,-175.00,1.35
3,2023-03-15,-89.00,-173.00,1.35
4,2023-03-15,-89.00,-171.00,1.35
5,2023-03-15,-89.00,-169.00,1.35
6,2023-03-15,-89.00,-167.00,1.35
7,2023-03-15,-89.00,-165.00,1.35
8,2023-03-15,-89.00,-163.00,1.35
9,2023-03-15,-89.00,-161.00,1.35
10,2023-03-15,-89.00,-159.00,1.35
11,2023-03-15,-89.00,-157.00,1.35
12,2023-03-15,-89.00,-155.00,1.35
13,2023-03-15,-89.00,-153.00,1.35
14,2023-03-15,-89.00,-151.00,1.35
15,2023-03-15,-89.00,-149.00,1.35
16,2023-03-15,-89.00,-147.00,1.35
17,2023-03-15,-89.00,-145.00,1.35
18,2023-03-15,-89.00,-143.00,1.35
19,2023-03-15,-89.00,-141.00,1.35
20,2023-03-15,-89.00,-139.00,1.35
21,2023-03-15,-89.00,-137.00,1.35
22,2023-03-15,-89.00,-135.00,1.35
23,2023-03-15,-89.00,-133.00,1.35
24,2023-03-15,-89.00,-131.00,1.35
25,2023-03-15,-89.00,-129.00,1.35
26,2023-03-15,-89.00,-127.00,1.35
27,2023-03-15,-89.00,-125.00,1.35
28,2023-03-15,-89.00,-123.00,1.35
29,2023-03-15,-89.00,-121.00,1.35
30,2023-03-15,-89.00,-119.00,1.35
31,2023-03-15,-89.00,-117.00,1.35
32,2023-03-15,-89.00,-115.00,1.35
33,2023-03-15,-89.00,-113.00,1.35
34,2023-03-15,-89.00,-111.00,1.35
35,2023-03-15,-89.00,-109.00,1.35
36,2023-03-15,-89.00,-107.00,1.35
37,2023-03-15,-89.00,-105.00,1.35
38,2023-03-15,-89.00,-103.00,1.35
39,2023-03-15,-89.00,-101.00,1.35
40,2023-03-15,-89.00,-99.00,1.35
41,2023-03-15,-89.00,-97.00,1.35
42,2023-03-15,-89.00,-95.00,1.35
43,2023-03-15,-89.00,-93.00,1.35
44,2023-03-15,-89.00,-91.00,1.35
45,2023-03-15,-89.00,-89.00,1.35
46,2023-03-15,-89.00,-87.00,1.35
47,2023-03-15,-89.00,-85.00,1.35
48,2023-03-15,-89.00,-83.00,1.35
49,2023-03-15,-89.00,-81.00,1.35
50,2023-03-15,-89.00,-79.00,1.35
51,2023-03-15,-89.00,-77.00,1.35
52,2023-03-15,-89.00,-75.00,1.35
53,2023-03-15,-89.00,-73.00,1.35
54,2023-03-15,-89.00,-71.00,1.35
55,2023-03-15,-89.00,-69.00,1.35
56,2023-03-15,-89.00,-67.00,1.35
57,2023-03-15,-89.00,-65.00,1.35
58,2023-03-15,-89.00,-63.00,1.35
59,2023-03-15,-89.00,-61.00,1.35
60,2023-03-15,-89.00,-59.00,1.35
61,2023-03-15,-89.00,-57.00,1.35
62,2023-03-15,-89.00,-55.00,1.35
63,2023-03-15,-89.00,-53.00,1.35
64,2023-03-15,-89.00,-51.00,1.35
