month,avg_anomaly,max_anomaly,min_anomaly,cnt_anomaly
Jan,0.0642361111111111,1.17,-0.81,144
Feb,0.07180555555555555,1.37,-0.63,144
Mar,0.09006944444444444,1.36,-0.63,144
Apr,0.05678321678321678,1.13,-0.59,143
May,0.047342657342657336,1.02,-0.55,143
Jun,0.03307692307692308,0.92,-0.52,143
Jul,0.05657342657342657,0.94,-0.51,143
Aug,0.05503496503496503,1.02,-0.54,143
Sep,0.05832167832167832,0.99,-0.58,143
Oct,0.08475524475524475,1.09,-0.57,143
Nov,0.07776223776223776,1.11,-0.55,143
Dec,0.05265734265734266,1.16,-0.82,143
