date,avg_anomaly,max_anomaly,min_anomaly,count_anomaly
1880-01-01,-0.17,-0.09,-0.25,12
1881-01-01,-0.09,0.06,-0.22,12
1882-01-01,-0.11,0.16,-0.36,12
1883-01-01,-0.17,-0.06,-0.37,12
1884-01-01,-0.29,-0.09,-0.4,12
1885-01-01,-0.33,-0.1,-0.59,12
1886-01-01,-0.32,-0.18,-0.51,12
1887-01-01,-0.36,-0.24,-0.72,12
1888-01-01,-0.17,0.03,-0.41,12
1889-01-01,-0.11,0.16,-0.34,12
1890-01-01,-0.35,-0.25,-0.45,12
1891-01-01,-0.23,-0.04,-0.47,12
1892-01-01,-0.28,-0.11,-0.42,12
1893-01-01,-0.32,-0.14,-0.82,12
1894-01-01,-0.32,-0.23,-0.53,12
1895-01-01,-0.23,-0.1,-0.43,12
1896-01-01,-0.11,0.06,-0.3,12
1897-01-01,-0.11,-0.01,-0.2,12
1898-01-01,-0.27,-0.02,-0.51,12
1899-01-01,-0.18,0.13,-0.39,12
1900-01-01,-0.08,0.1,-0.36,12
1901-01-01,-0.15,0.06,-0.29,12
1902-01-01,-0.27,-0.06,-0.41,12
1903-01-01,-0.36,-0.05,-0.5,12
1904-01-01,-0.47,-0.17,-0.63,12
1905-01-01,-0.26,-0.06,-0.59,12
1906-01-01,-0.22,-0.04,-0.37,12
1907-01-01,-0.38,-0.22,-0.51,12
1908-01-01,-0.42,-0.32,-0.55,12
1909-01-01,-0.48,-0.31,-0.72,12
1910-01-01,-0.43,-0.33,-0.67,12
1911-01-01,-0.44,-0.21,-0.62,12
1912-01-01,-0.36,-0.14,-0.57,12
1913-01-01,-0.34,-0.02,-0.44,12
1914-01-01,-0.15,0.05,-0.29,12
1915-01-01,-0.14,0.07,-0.24,12
1916-01-01,-0.35,-0.12,-0.81,12
1917-01-01,-0.46,-0.22,-0.67,12
1918-01-01,-0.29,-0.06,-0.47,12
1919-01-01,-0.27,-0.12,-0.42,12
1920-01-01,-0.27,-0.12,-0.46,12
1921-01-01,-0.18,-0.03,-0.29,12
1922-01-01,-0.28,-0.14,-0.43,12
1923-01-01,-0.26,-0.02,-0.4,12
1924-01-01,-0.27,-0.08,-0.42,12
1925-01-01,-0.22,0.06,-0.39,12
1926-01-01,-0.11,0.2,-0.29,12
1927-01-01,-0.21,-0.01,-0.38,12
1928-01-01,-0.19,-0.01,-0.38,12
1929-01-01,-0.36,-0.11,-0.58,12
1930-01-01,-0.15,0.17,-0.29,12
1931-01-01,-0.09,0.05,-0.22,12
1932-01-01,-0.16,0.15,-0.28,12
1933-01-01,-0.28,-0.21,-0.44,12
1934-01-01,-0.12,0.04,-0.3,12
1935-01-01,-0.19,0.15,-0.36,12
1936-01-01,-0.14,0.02,-0.37,12
1937-01-01,-0.03,0.09,-0.2,12
1938-01-01,0.0,0.15,-0.16,12
1939-01-01,-0.01,0.44,-0.17,12
1940-01-01,0.13,0.32,0.0,12
1941-01-01,0.19,0.35,0.02,12
1942-01-01,0.07,0.3,-0.03,12
1943-01-01,0.09,0.24,-0.05,12
1944-01-01,0.21,0.36,0.04,12
1945-01-01,0.09,0.26,-0.07,12
1946-01-01,-0.07,0.15,-0.3,12
1947-01-01,-0.02,0.08,-0.13,12
1948-01-01,-0.1,0.07,-0.24,12
1949-01-01,-0.11,0.07,-0.27,12
1950-01-01,-0.17,-0.05,-0.34,12
1951-01-01,-0.07,0.16,-0.41,12
1952-01-01,0.01,0.11,-0.13,12
1953-01-01,0.08,0.19,-0.03,12
1954-01-01,-0.13,0.08,-0.24,12
1955-01-01,-0.14,0.13,-0.32,12
1956-01-01,-0.19,-0.06,-0.29,12
1957-01-01,0.05,0.16,-0.09,12
1958-01-01,0.06,0.39,-0.08,12
1959-01-01,0.03,0.18,-0.08,12
1960-01-01,-0.02,0.19,-0.35,12
1961-01-01,0.06,0.19,-0.16,12
1962-01-01,0.03,0.15,-0.06,12
1963-01-01,0.05,0.22,-0.14,12
1964-01-01,-0.2,-0.04,-0.32,12
1965-01-01,-0.11,-0.04,-0.19,12
1966-01-01,-0.06,0.08,-0.19,12
1967-01-01,-0.02,0.12,-0.21,12
1968-01-01,-0.08,0.2,-0.26,12
1969-01-01,0.05,0.24,-0.18,12
1970-01-01,0.03,0.22,-0.12,12
1971-01-01,-0.08,-0.01,-0.18,12
1972-01-01,0.01,0.18,-0.22,12
1973-01-01,0.16,0.32,-0.07,12
1974-01-01,-0.07,0.1,-0.27,12
1975-01-01,-0.01,0.16,-0.17,12
1976-01-01,-0.1,0.11,-0.24,12
1977-01-01,0.18,0.33,0.02,12
1978-01-01,0.07,0.19,-0.13,12
1979-01-01,0.16,0.48,-0.1,12
1980-01-01,0.26,0.39,0.13,12
1981-01-01,0.32,0.53,0.12,12
1982-01-01,0.14,0.42,0.03,12
1983-01-01,0.31,0.53,0.17,12
1984-01-01,0.16,0.33,-0.04,12
1985-01-01,0.12,0.22,-0.04,12
1986-01-01,0.18,0.37,0.03,12
1987-01-01,0.32,0.46,0.18,12
1988-01-01,0.39,0.57,0.12,12
1989-01-01,0.27,0.37,0.13,12
1990-01-01,0.45,0.8,0.23,12
1991-01-01,0.4,0.53,0.29,12
1992-01-01,0.22,0.48,-0.01,12
1993-01-01,0.23,0.37,0.03,12
1994-01-01,0.32,0.44,0.03,12
1995-01-01,0.45,0.79,0.26,12
1996-01-01,0.33,0.48,0.2,12
1997-01-01,0.46,0.64,0.31,12
1998-01-01,0.61,0.88,0.41,12
1999-01-01,0.38,0.64,0.26,12
2000-01-01,0.39,0.57,0.25,12
2001-01-01,0.54,0.72,0.44,12
2002-01-01,0.63,0.88,0.44,12
2003-01-01,0.62,0.75,0.48,12
2004-01-01,0.53,0.72,0.26,12
2005-01-01,0.68,0.75,0.6,12
2006-01-01,0.64,0.79,0.47,12
2007-01-01,0.66,1.02,0.49,12
2008-01-01,0.54,0.74,0.3,12
2009-01-01,0.65,0.79,0.53,12
2010-01-01,0.72,0.92,0.45,12
2011-01-01,0.61,0.74,0.48,12
2012-01-01,0.65,0.79,0.49,12
2013-01-01,0.68,0.83,0.54,12
2014-01-01,0.74,0.87,0.55,12
2015-01-01,0.9,1.16,0.72,12
2016-01-01,1.01,1.37,0.79,12
2017-01-01,0.92,1.16,0.71,12
2018-01-01,0.85,1.02,0.76,12
2019-01-01,0.98,1.17,0.85,12
2020-01-01,1.01,1.24,0.81,12
2021-01-01,0.84,1.0,0.64,12
2022-01-01,0.89,1.05,0.72,12
2023-01-01,1.0,1.2,0.86,6
