Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.36,-.51,-.23,-.30,-.06,-.16,-.19,-.27,-.23,-.32,-.43,-.40,-.29,***,***,-.20,-.21,-.33
1881,-.31,-.23,-.04,.00,.03,-.33,.08,-.04,-.26,-.44,-.37,-.24,-.18,-.19,-.31,.00,-.10,-.36
1882,.25,.21,.01,-.31,-.24,-.29,-.28,-.16,-.26,-.52,-.34,-.69,-.22,-.18,.07,-.18,-.25,-.37
1883,-.58,-.67,-.16,-.30,-.26,-.12,-.05,-.22,-.35,-.16,-.45,-.15,-.29,-.33,-.65,-.24,-.13,-.32
1884,-.17,-.11,-.64,-.59,-.36,-.41,-.41,-.51,-.45,-.45,-.57,-.47,-.43,-.40,-.14,-.53,-.44,-.49
1885,-1.01,-.46,-.24,-.49,-.58,-.44,-.34,-.41,-.40,-.37,-.38,-.11,-.43,-.46,-.64,-.44,-.40,-.38
1886,-.75,-.84,-.71,-.37,-.34,-.37,-.14,-.42,-.33,-.31,-.39,-.22,-.43,-.42,-.57,-.47,-.31,-.34
1887,-1.08,-.70,-.44,-.38,-.26,-.21,-.24,-.54,-.21,-.49,-.27,-.43,-.44,-.42,-.67,-.36,-.33,-.32
1888,-.49,-.61,-.64,-.22,-.15,-.03,.00,-.21,-.20,-.03,-.01,-.23,-.23,-.25,-.51,-.34,-.08,-.08
1889,-.28,.29,-.02,.16,-.04,-.06,-.08,-.20,-.30,-.41,-.62,-.54,-.17,-.15,-.07,.04,-.12,-.44
1890,-.63,-.58,-.47,-.25,-.36,-.16,-.23,-.39,-.35,-.10,-.62,-.47,-.38,-.39,-.58,-.36,-.26,-.36
1891,-.47,-.69,-.16,-.36,-.16,-.12,-.12,-.13,-.08,-.28,-.53,-.04,-.26,-.30,-.54,-.23,-.13,-.30
1892,-.51,-.17,-.68,-.46,-.24,-.06,-.38,-.33,-.20,-.27,-.83,-.65,-.40,-.35,-.24,-.46,-.25,-.43
1893,-1.52,-.97,-.32,-.30,-.43,-.18,-.14,-.34,-.29,-.28,-.33,-.60,-.47,-.48,-1.04,-.35,-.22,-.30
1894,-.91,-.41,-.21,-.53,-.25,-.40,-.20,-.27,-.32,-.27,-.47,-.35,-.38,-.40,-.64,-.33,-.29,-.35
1895,-.70,-.80,-.49,-.18,-.30,-.20,-.18,-.27,-.06,-.08,-.12,-.22,-.30,-.31,-.61,-.32,-.22,-.09
1896,-.36,-.18,-.49,-.60,-.16,.08,.01,-.10,-.12,.05,-.20,-.21,-.19,-.19,-.25,-.41,-.01,-.09
1897,-.39,-.41,-.39,-.04,.14,-.06,.05,-.06,-.06,-.15,-.25,-.29,-.16,-.15,-.34,-.10,-.02,-.15
1898,.05,-.44,-.80,-.28,-.28,-.09,-.13,-.18,-.18,-.36,-.51,-.26,-.29,-.29,-.23,-.45,-.13,-.35
1899,-.12,-.64,-.59,-.23,-.24,-.35,-.16,-.06,-.05,.05,.36,-.47,-.21,-.19,-.34,-.35,-.19,.12
1900,-.62,-.14,.06,-.10,-.03,-.09,-.11,-.08,-.02,.23,-.12,-.02,-.09,-.12,-.41,-.02,-.09,.03
1901,-.33,-.09,.27,.11,-.11,.02,.02,-.15,-.26,-.31,-.22,-.40,-.12,-.09,-.15,.09,-.04,-.26
1902,-.16,.03,-.37,-.37,-.38,-.35,-.32,-.28,-.32,-.30,-.44,-.59,-.32,-.30,-.18,-.37,-.32,-.35
1903,-.21,.13,-.14,-.45,-.42,-.44,-.43,-.54,-.49,-.48,-.42,-.56,-.37,-.37,-.23,-.34,-.47,-.46
1904,-.76,-.59,-.40,-.50,-.44,-.48,-.59,-.54,-.64,-.39,-.08,-.34,-.48,-.50,-.64,-.44,-.54,-.37
1905,-.41,-.81,-.23,-.45,-.29,-.27,-.21,-.23,-.19,-.27,.09,-.17,-.29,-.30,-.52,-.32,-.24,-.12
1906,-.56,-.53,-.21,.04,-.25,-.11,-.26,-.17,-.24,-.17,-.40,.03,-.24,-.25,-.42,-.14,-.18,-.27
1907,-.58,-.73,-.31,-.45,-.58,-.51,-.40,-.38,-.40,-.19,-.55,-.57,-.47,-.42,-.43,-.45,-.43,-.38
1908,-.54,-.28,-.70,-.48,-.30,-.31,-.36,-.57,-.31,-.45,-.63,-.55,-.46,-.46,-.46,-.49,-.41,-.46
1909,-.94,-.46,-.67,-.66,-.50,-.52,-.45,-.36,-.38,-.33,-.12,-.58,-.50,-.49,-.65,-.61,-.44,-.28
1910,-.35,-.37,-.49,-.41,-.29,-.44,-.38,-.40,-.43,-.31,-.58,-.81,-.44,-.42,-.43,-.40,-.41,-.44
1911,-.71,-.58,-.64,-.45,-.45,-.34,-.37,-.44,-.39,-.19,-.20,-.30,-.42,-.46,-.70,-.52,-.38,-.26
1912,-.34,-.17,-.60,-.16,-.12,-.14,-.52,-.77,-.80,-.84,-.51,-.56,-.46,-.44,-.27,-.30,-.48,-.72
1913,-.55,-.64,-.47,-.50,-.54,-.49,-.51,-.46,-.42,-.40,-.15,.10,-.42,-.48,-.59,-.51,-.49,-.32
1914,.17,-.11,-.36,-.39,-.19,-.23,-.34,-.28,-.30,-.01,-.22,-.05,-.19,-.18,.06,-.31,-.28,-.18
1915,-.26,-.10,-.24,.07,-.02,-.13,-.10,-.16,-.22,-.27,-.04,-.26,-.14,-.13,-.14,-.07,-.13,-.17
1916,-.09,-.16,-.39,-.34,-.36,-.51,-.34,-.38,-.49,-.35,-.47,-1.14,-.42,-.35,-.17,-.36,-.41,-.44
1917,-.54,-.69,-.75,-.65,-.73,-.50,-.33,-.40,-.32,-.63,-.32,-1.06,-.58,-.58,-.79,-.71,-.41,-.43
1918,-.70,-.46,-.25,-.59,-.49,-.46,-.34,-.37,-.26,-.05,-.22,-.56,-.40,-.44,-.74,-.45,-.39,-.18
1919,-.38,-.41,-.38,-.24,-.42,-.39,-.34,-.30,-.20,-.09,-.48,-.55,-.35,-.35,-.45,-.35,-.35,-.26
1920,-.15,-.29,.00,-.21,-.21,-.26,-.25,-.31,-.35,-.40,-.45,-.71,-.30,-.29,-.33,-.14,-.28,-.40
1921,.19,-.09,-.11,-.17,-.24,-.15,-.02,-.29,-.18,-.01,-.10,-.13,-.11,-.16,-.20,-.17,-.15,-.09
1922,-.37,-.62,-.11,-.16,-.19,-.16,-.28,-.36,-.43,-.32,-.13,-.15,-.27,-.27,-.37,-.15,-.27,-.30
1923,-.18,-.46,-.39,-.53,-.39,-.24,-.29,-.27,-.17,.07,.16,.09,-.22,-.24,-.26,-.44,-.26,.02
1924,-.28,-.21,.03,-.28,-.06,-.19,-.22,-.27,-.22,-.24,.10,-.36,-.18,-.15,-.14,-.10,-.22,-.12
1925,-.28,-.38,-.23,-.16,-.22,-.25,-.25,-.19,-.04,-.08,.22,.22,-.14,-.18,-.34,-.20,-.23,.03
1926,.53,.19,.38,-.12,-.23,-.20,-.19,-.06,-.02,.07,.17,-.29,.02,.06,.31,.01,-.15,.07
1927,-.28,-.08,-.46,-.26,-.13,-.14,-.07,-.16,.03,.24,.10,-.37,-.13,-.13,-.22,-.28,-.13,.12
1928,.27,.09,-.23,-.31,-.17,-.32,-.10,-.19,-.15,-.08,.05,-.04,-.10,-.13,.00,-.24,-.20,-.06
1929,-.56,-.79,-.19,-.35,-.27,-.39,-.35,-.19,-.20,-.01,-.02,-.66,-.33,-.28,-.46,-.27,-.31,-.08
1930,-.11,-.19,.11,-.15,-.19,-.11,-.03,.02,-.02,.02,.44,.08,-.01,-.07,-.32,-.08,-.04,.15
1931,.01,-.23,-.05,-.20,-.13,.15,.08,.10,.17,.36,.26,.11,.05,.05,-.05,-.13,.11,.27
1932,.39,-.18,-.20,.10,-.09,-.13,-.14,-.08,.11,.15,-.32,-.20,-.05,-.02,.11,-.06,-.12,-.02
1933,-.18,-.30,-.31,-.16,-.26,-.31,-.13,-.14,-.28,-.17,-.24,-.54,-.25,-.22,-.23,-.24,-.20,-.23
1934,-.14,.33,-.27,-.29,.08,-.01,-.03,-.09,-.13,.13,.27,.18,.00,-.06,-.12,-.16,-.05,.09
1935,-.39,.57,.03,-.35,-.29,-.15,-.04,-.07,-.06,.12,-.32,-.16,-.09,-.06,.12,-.20,-.08,-.08
1936,-.28,-.50,-.12,-.05,.00,.04,.09,.03,.07,.07,.15,.15,-.03,-.06,-.32,-.06,.05,.10
1937,.09,.24,-.23,-.07,.12,.14,.15,.15,.28,.33,.25,.00,.12,.13,.16,-.06,.15,.29
1938,.35,.28,.34,.31,.03,-.06,-.02,.08,.15,.32,.31,-.13,.16,.17,.21,.22,.00,.26
1939,.03,-.01,-.24,-.07,.01,.00,.05,.08,.13,.08,.24,.79,.09,.01,-.04,-.10,.04,.15
1940,-.10,.14,.03,.28,.16,.16,.15,.07,.26,.29,.30,.36,.18,.21,.27,.16,.13,.28
1941,.18,.47,.12,.12,.23,.21,.25,.19,.10,.50,.18,.19,.23,.24,.34,.16,.21,.26
1942,.41,-.08,-.01,.09,.16,.10,-.01,-.08,.11,.28,.26,.27,.13,.12,.17,.08,.01,.21
1943,-.10,.38,.00,.31,.23,-.07,-.02,.10,.14,.46,.36,.37,.18,.17,.18,.18,.00,.32
1944,.62,.44,.31,.18,.23,.17,.14,.17,.36,.44,.19,.00,.27,.30,.48,.24,.16,.33
