year,area,period,anomaly
1880,GLB,Jan,-0.18
1881,GLB,Jan,-0.19
1882,GLB,Jan,0.16
1883,GLB,Jan,-0.29
1884,GLB,Jan,-0.13
1885,GLB,Jan,-0.58
1886,GLB,Jan,-0.44
1887,GLB,Jan,-0.72
1888,GLB,Jan,-0.34
1889,GLB,Jan,-0.08
1890,GLB,Jan,-0.41
1891,GLB,Jan,-0.34
1892,GLB,Jan,-0.29
1893,GLB,Jan,-0.81
1894,GLB,Jan,-0.52
1895,GLB,Jan,-0.4
1896,GLB,Jan,-0.22
1897,GLB,Jan,-0.15
1898,GLB,Jan,-0.02
1899,GLB,Jan,-0.16
1900,GLB,Jan,-0.35
1901,GLB,Jan,-0.21
1902,GLB,Jan,-0.17
1903,GLB,Jan,-0.23
1904,GLB,Jan,-0.63
1905,GLB,Jan,-0.34
1906,GLB,Jan,-0.28
1907,GLB,Jan,-0.43
1908,GLB,Jan,-0.44
1909,GLB,Jan,-0.72
1910,GLB,Jan,-0.42
1911,GLB,Jan,-0.62
1912,GLB,Jan,-0.25
1913,GLB,Jan,-0.4
1914,GLB,Jan,0.05
1915,GLB,Jan,-0.2
1916,GLB,Jan,-0.12
1917,GLB,Jan,-0.57
1918,GLB,Jan,-0.47
1919,GLB,Jan,-0.2
1920,GLB,Jan,-0.24
1921,GLB,Jan,-0.04
1922,GLB,Jan,-0.33
1923,GLB,Jan,-0.27
1924,GLB,Jan,-0.23
1925,GLB,Jan,-0.38
1926,GLB,Jan,0.2
1927,GLB,Jan,-0.27
1928,GLB,Jan,-0.02
1929,GLB,Jan,-0.45
1930,GLB,Jan,-0.29
1931,GLB,Jan,-0.1
1932,GLB,Jan,0.16
1933,GLB,Jan,-0.23
1934,GLB,Jan,-0.21
1935,GLB,Jan,-0.33
1936,GLB,Jan,-0.27
1937,GLB,Jan,-0.07
1938,GLB,Jan,0.08
1939,GLB,Jan,-0.05
1940,GLB,Jan,0.0
1941,GLB,Jan,0.18
1942,GLB,Jan,0.3
1943,GLB,Jan,-0.01
1944,GLB,Jan,0.36
1945,GLB,Jan,0.1
1946,GLB,Jan,0.15
1947,GLB,Jan,-0.06
1948,GLB,Jan,0.07
1949,GLB,Jan,0.07
1950,GLB,Jan,-0.26
1951,GLB,Jan,-0.34
1952,GLB,Jan,0.12
1953,GLB,Jan,0.07
1954,GLB,Jan,-0.24
1955,GLB,Jan,0.13
