year,area,anomaly
1880,Glob,-0.17
1881,Glob,-0.08
1882,Glob,-0.11
1883,Glob,-0.17
1884,Glob,-0.28
1885,Glob,-0.33
1886,Glob,-0.31
1887,Glob,-0.36
1888,Glob,-0.17
1889,Glob,-0.1
1890,Glob,-0.35
1891,Glob,-0.22
1892,Glob,-0.27
1893,Glob,-0.31
1894,Glob,-0.3
1895,Glob,-0.22
1896,Glob,-0.11
1897,Glob,-0.11
1898,Glob,-0.27
1899,Glob,-0.17
1900,Glob,-0.08
1901,Glob,-0.15
1902,Glob,-0.27
1903,Glob,-0.37
1904,Glob,-0.47
1905,Glob,-0.26
1906,Glob,-0.22
1907,Glob,-0.38
1908,Glob,-0.43
1909,Glob,-0.48
1910,Glob,-0.43
1911,Glob,-0.44
1912,Glob,-0.36
1913,Glob,-0.34
1914,Glob,-0.15
1915,Glob,-0.14
1916,Glob,-0.36
1917,Glob,-0.46
1918,Glob,-0.29
1919,Glob,-0.28
1920,Glob,-0.27
1921,Glob,-0.19
1922,Glob,-0.28
1923,Glob,-0.26
1924,Glob,-0.27
1925,Glob,-0.22
1926,Glob,-0.11
1927,Glob,-0.22
1928,Glob,-0.2
1929,Glob,-0.36
1930,Glob,-0.15
1931,Glob,-0.09
1932,Glob,-0.15
1933,Glob,-0.28
1934,Glob,-0.12
1935,Glob,-0.2
1936,Glob,-0.14
1937,Glob,-0.03
1938,Glob,0.0
1939,Glob,-0.02
1940,Glob,0.13
1941,Glob,0.19
1942,Glob,0.07
1943,Glob,0.09
1944,Glob,0.2
1945,Glob,0.09
1946,Glob,-0.07
1947,Glob,-0.03
1948,Glob,-0.1
1949,Glob,-0.11
1950,Glob,-0.17
1951,Glob,-0.07
1952,Glob,0.01
1953,Glob,0.08
1954,Glob,-0.13
1955,Glob,-0.14
1956,Glob,-0.19
1957,Glob,0.05
1958,Glob,0.06
1959,Glob,0.03
1960,Glob,-0.03
1961,Glob,0.06
1962,Glob,0.03
1963,Glob,0.05
1964,Glob,-0.2
1965,Glob,-0.11
1966,Glob,-0.06
1967,Glob,-0.02
1968,Glob,-0.08
1969,Glob,0.05
1970,Glob,0.03
1971,Glob,-0.08
1972,Glob,0.01
1973,Glob,0.16
1974,Glob,-0.07
1975,Glob,-0.01
1976,Glob,-0.1
1977,Glob,0.18
1978,Glob,0.07
1979,Glob,0.16
1980,Glob,0.26
1981,Glob,0.32
1982,Glob,0.14
1983,Glob,0.31
1984,Glob,0.16
1985,Glob,0.12
1986,Glob,0.18
1987,Glob,0.32
1988,Glob,0.39
1989,Glob,0.27
1990,Glob,0.45
1991,Glob,0.4
1992,Glob,0.22
1993,Glob,0.23
1994,Glob,0.31
1995,Glob,0.45
1996,Glob,0.33
1997,Glob,0.46
1998,Glob,0.61
1999,Glob,0.38
2000,Glob,0.39
2001,Glob,0.54
2002,Glob,0.63
2003,Glob,0.62
2004,Glob,0.53
2005,Glob,0.67
2006,Glob,0.63
2007,Glob,0.66
2008,Glob,0.54
2009,Glob,0.65
2010,Glob,0.72
2011,Glob,0.61
2012,Glob,0.65
2013,Glob,0.67
2014,Glob,0.74
2015,Glob,0.9
2016,Glob,1.01
2017,Glob,0.92
2018,Glob,0.84
2019,Glob,0.98
2020,Glob,1.02
2021,Glob,0.85
2022,Glob,0.89
1880,NHem,-0.29
1881,NHem,-0.18
1882,NHem,-0.22
1883,NHem,-0.29
1884,NHem,-0.43
1885,NHem,-0.43
1886,NHem,-0.43
1887,NHem,-0.44
1888,NHem,-0.23
1889,NHem,-0.17
1890,NHem,-0.38
1891,NHem,-0.26
1892,NHem,-0.4
1893,NHem,-0.47
1894,NHem,-0.38
1895,NHem,-0.3
1896,NHem,-0.19
1897,NHem,-0.16
1898,NHem,-0.29
1899,NHem,-0.21
